,downloads,library
2025-03-05,3375250.0,scikit-learn
2025-03-06,3334980.0,scikit-learn
2025-03-07,3425271.0,scikit-learn
2025-03-08,2052838.0,scikit-learn
2025-03-09,2105487.0,scikit-learn
2025-03-10,3232918.0,scikit-learn
2025-03-11,3358328.0,scikit-learn
2024-12-15,1971182.0,scikit-learn
2024-12-16,2870374.0,scikit-learn
2024-12-18,2920710.0,scikit-learn
2024-12-23,2468701.0,scikit-learn
2024-12-25,1951551.0,scikit-learn
2024-12-28,1772961.0,scikit-learn
2024-12-29,1790486.0,scikit-learn
2025-01-01,1857455.0,scikit-learn
2025-01-16,2820651.0,scikit-learn
2025-01-20,2556553.0,scikit-learn
2025-01-23,2802829.0,scikit-learn
2025-02-01,2017251.0,scikit-learn
2025-02-14,2809412.0,scikit-learn
2025-02-25,3304771.0,scikit-learn
2024-12-13,3746782.0,flask
2024-12-14,2581342.0,flask
2024-12-15,2525399.0,flask
2024-12-16,3886805.0,flask
2024-12-17,4040953.0,flask
2024-12-18,3923374.0,flask
2024-12-19,3810750.0,flask
2024-12-20,3496356.0,flask
2024-12-21,2389102.0,flask
2024-12-22,2392302.0,flask
2024-12-23,3165286.0,flask
2024-12-24,2776964.0,flask
2024-12-25,2346656.0,flask
2024-12-26,2688801.0,flask
2024-12-27,2716611.0,flask
2024-12-28,2234442.0,flask
2024-12-30,2889046.0,flask
2024-12-31,2627091.0,flask
2025-01-01,2324044.0,flask
2025-01-02,3118130.0,flask
2025-01-03,3102298.0,flask
2025-01-04,2361008.0,flask
2025-01-05,2257811.0,flask
2025-01-06,3367325.0,flask
2025-01-07,3690562.0,flask
2025-01-08,3739034.0,flask
2025-01-09,3705454.0,flask
2025-01-10,3673966.0,flask
2025-01-11,2344553.0,flask
2025-01-12,2317543.0,flask
2025-01-13,3642714.0,flask
2025-01-14,3794251.0,flask
2025-01-15,3802832.0,flask
2025-01-16,3790768.0,flask
2025-01-17,3915223.0,flask
2025-01-18,2371690.0,flask
2025-01-20,3294978.0,flask
2025-01-21,3767352.0,flask
2025-01-22,3933328.0,flask
2025-01-23,3733889.0,flask
2025-01-24,3489364.0,flask
2025-01-25,2288748.0,flask
2025-01-26,2254826.0,flask
2025-01-27,3562560.0,flask
2025-01-28,3878652.0,flask
2025-01-29,3682100.0,flask
2025-01-30,3595803.0,flask
2025-01-31,3363125.0,flask
2025-02-01,2315175.0,flask
2025-02-02,2228948.0,flask
2025-02-03,3615582.0,flask
2025-02-04,3943759.0,flask
2025-02-05,3797778.0,flask
2025-02-06,3803407.0,flask
2025-02-07,3626764.0,flask
2025-02-08,2414631.0,flask
2025-02-09,2101602.0,flask
2025-02-10,3742002.0,flask
2025-02-11,3884910.0,flask
2025-02-12,4031958.0,flask
2025-02-13,3841819.0,flask
2025-02-14,3585705.0,flask
2025-02-15,2270860.0,flask
2025-02-16,2184727.0,flask
2025-02-17,3346162.0,flask
2025-02-18,3803784.0,flask
2025-02-19,3847843.0,flask
2025-02-20,3823567.0,flask
2025-02-21,3772307.0,flask
2025-02-22,2415468.0,flask
2025-02-23,2249396.0,flask
2025-02-24,3821553.0,flask
2025-02-25,4027966.0,flask
2025-02-26,4001912.0,flask
2025-02-27,4028253.0,flask
2025-02-28,3640281.0,flask
2025-03-01,2511779.0,flask
2025-03-02,2289563.0,flask
2025-03-03,3678403.0,flask
2025-03-04,3997562.0,flask
2025-03-05,4124336.0,flask
2025-03-06,4109272.0,flask
2025-03-07,4022413.0,flask
2025-03-08,2478359.0,flask
2025-03-09,2293258.0,flask
2025-03-10,3945954.0,flask
2025-03-11,4010159.0,flask
2025-01-19,2281384.0,flask
2024-12-29,2280622.0,flask
2024-12-13,643884.0,django
2024-12-14,284424.0,django
2024-12-15,292812.0,django
2024-12-16,710613.0,django
2024-12-17,733310.0,django
2024-12-18,697562.0,django
2024-12-19,683068.0,django
2024-12-20,593523.0,django
2024-12-21,288279.0,django
2024-12-22,280686.0,django
2024-12-23,553082.0,django
2024-12-25,308253.0,django
2024-12-26,405383.0,django
2024-12-27,419152.0,django
2024-12-28,278380.0,django
2024-12-29,269800.0,django
2024-12-30,452575.0,django
2024-12-31,373044.0,django
2025-01-01,282195.0,django
2025-01-03,500969.0,django
2025-01-04,280114.0,django
2025-01-05,285575.0,django
2025-01-06,644422.0,django
2025-01-07,688162.0,django
2025-01-08,691718.0,django
2025-01-09,687488.0,django
2025-01-10,660930.0,django
2025-01-11,288576.0,django
2025-01-12,292220.0,django
2025-01-13,713061.0,django
2025-01-14,775891.0,django
2025-01-15,854636.0,django
2025-01-16,834771.0,django
2025-01-17,721934.0,django
2025-01-18,304563.0,django
2025-01-20,704261.0,django
2025-01-21,777515.0,django
2025-01-22,809625.0,django
2025-01-23,821064.0,django
2025-01-24,706149.0,django
2025-01-25,327899.0,django
2025-01-26,313770.0,django
2025-01-27,783278.0,django
2025-01-28,975219.0,django
2025-01-29,817142.0,django
2025-01-30,795748.0,django
2025-01-31,692921.0,django
2025-02-01,408780.0,django
2025-02-02,389325.0,django
2025-02-03,893697.0,django
2025-02-04,987862.0,django
2025-02-05,942035.0,django
2025-02-06,933329.0,django
2025-02-07,855954.0,django
2025-02-08,436125.0,django
2025-02-09,443517.0,django
2025-02-10,897457.0,django
2025-02-11,860683.0,django
2025-02-12,879858.0,django
2025-02-13,827516.0,django
2025-02-14,745173.0,django
2025-02-15,344124.0,django
2025-02-16,335510.0,django
2025-02-17,754246.0,django
2025-02-18,837757.0,django
2025-02-19,830405.0,django
2025-02-20,822946.0,django
2025-02-21,795504.0,django
2025-02-22,403462.0,django
2025-02-23,338492.0,django
2025-02-24,838618.0,django
2025-02-25,883644.0,django
2025-02-26,854898.0,django
2025-02-27,853080.0,django
2025-02-28,757877.0,django
