date,downloads,library
2025-01-24,685398,tensorflow
2025-01-25,580530,tensorflow
2025-01-26,516901,tensorflow
2025-01-27,704949,tensorflow
2025-01-28,764925,tensorflow
2025-01-29,726899,tensorflow
2025-01-30,685148,tensorflow
2025-01-31,652674,tensorflow
2025-02-01,588653,tensorflow
2025-02-02,545658,tensorflow
2025-02-03,657753,tensorflow
2025-02-04,757750,tensorflow
2025-02-05,745183,tensorflow
2025-02-06,734191,tensorflow
2025-02-07,715772,tensorflow
2025-02-08,668354,tensorflow
2025-02-09,590233,tensorflow
2025-02-10,725200,tensorflow
2025-02-11,715145,tensorflow
2025-02-12,715338,tensorflow
2025-02-13,695959,tensorflow
2025-02-14,665818,tensorflow
2025-02-15,549199,tensorflow
2025-02-16,526125,tensorflow
2025-02-17,675814,tensorflow
2025-02-18,814069,tensorflow
2025-02-19,734954,tensorflow
2025-02-20,781714,tensorflow
2025-02-21,732308,tensorflow
2025-02-22,666652,tensorflow
2025-02-23,513693,tensorflow
2025-02-24,692430,tensorflow
2025-02-25,992724,tensorflow
2025-02-26,1110314,tensorflow
2025-02-27,833957,tensorflow
2025-02-28,699399,tensorflow
2025-03-01,590661,tensorflow
2025-03-02,549991,tensorflow
2025-03-03,748850,tensorflow
2025-03-04,743616,tensorflow
2025-03-05,791158,tensorflow
2025-03-06,775419,tensorflow
2025-03-07,714918,tensorflow
2025-03-08,562212,tensorflow
2025-03-09,523775,tensorflow
2025-03-10,677104,tensorflow
2025-03-11,737152,tensorflow
2024-12-13,2871395,fastapi
2024-12-14,2003031,fastapi
2024-12-15,2002266,fastapi
2024-12-16,3152436,fastapi
2024-12-17,3149769,fastapi
2024-12-18,2995931,fastapi
2024-12-19,2920559,fastapi
2024-12-20,2667848,fastapi
2024-12-21,1764848,fastapi
2024-12-22,1820000,fastapi
2024-12-23,2401784,fastapi
2024-12-24,2127323,fastapi
2024-12-25,1803457,fastapi
2024-12-26,2050901,fastapi
2024-12-27,2066746,fastapi
2024-12-28,1673207,fastapi
2024-12-29,1720936,fastapi
2024-12-30,2175128,fastapi
2024-12-31,2021032,fastapi
2025-01-01,1711416,fastapi
2025-01-02,2397933,fastapi
2025-01-03,2375758,fastapi
2025-01-04,1788931,fastapi
2025-01-05,1764113,fastapi
2025-01-06,2579141,fastapi
2025-01-07,2898945,fastapi
2025-01-08,2956371,fastapi
2025-01-09,3069813,fastapi
2025-01-10,2826909,fastapi
2025-01-11,1791025,fastapi
2025-01-12,1799364,fastapi
2025-01-13,2785915,fastapi
2025-01-14,2959788,fastapi
2025-01-15,2980225,fastapi
2025-01-16,2984387,fastapi
2025-01-17,2961785,fastapi
2025-01-18,1856803,fastapi
2025-01-19,1823956,fastapi
2025-01-20,2582696,fastapi
2025-01-21,2905133,fastapi
2025-01-22,3011790,fastapi
2025-01-23,2948555,fastapi
2025-01-24,2715768,fastapi
2025-01-25,1733947,fastapi
2025-01-26,1777178,fastapi
2025-01-27,2862602,fastapi
2025-01-28,2938838,fastapi
2025-01-29,2908932,fastapi
2025-01-30,3057540,fastapi
2025-01-31,2856492,fastapi
2025-02-01,1917654,fastapi
2025-02-02,1806973,fastapi
2025-02-03,2779127,fastapi
2025-02-04,3055101,fastapi
2025-02-05,3115707,fastapi
2025-02-06,3008174,fastapi
2025-02-07,2799061,fastapi
2025-02-08,1751022,fastapi
2025-02-09,1458987,fastapi
2025-02-10,2865120,fastapi
2025-02-11,2890522,fastapi
2025-02-12,2942137,fastapi
2025-02-13,2870832,fastapi
2025-02-14,2601594,fastapi
2025-02-15,1598988,fastapi
2025-02-16,1619726,fastapi
2025-02-17,2514691,fastapi
2025-02-18,2827239,fastapi
2025-02-19,2842584,fastapi
2025-02-20,2817757,fastapi
2025-02-21,2587108,fastapi
2025-02-22,1609810,fastapi
2025-02-23,1533051,fastapi
2025-02-24,2714412,fastapi
2025-02-25,2930407,fastapi
2025-02-26,2813568,fastapi
2025-02-27,2855090,fastapi
2025-02-28,2553075,fastapi
2025-03-01,1543945,fastapi
2025-03-02,1557400,fastapi
2025-03-03,2666469,fastapi
2025-03-04,2841353,fastapi
2025-03-05,3010529,fastapi
2025-03-06,2895404,fastapi
2025-03-07,2842923,fastapi
2025-03-08,1539619,fastapi
2025-03-09,1529893,fastapi
2025-03-10,2850004,fastapi
2025-03-11,2843583,fastapi
2024-12-13,6368761,pytest
2024-12-14,3296890,pytest
2024-12-15,3157385,pytest
2024-12-16,6516236,pytest
2024-12-17,7026909,pytest
2024-12-18,6872362,pytest
2024-12-19,6971025,pytest
2024-12-20,6107810,pytest
2024-12-21,3239857,pytest
2024-12-22,3065448,pytest
2024-12-23,5265678,pytest
2024-12-24,4387638,pytest
2024-12-25,3395396,pytest
2024-12-26,4075579,pytest
2024-12-27,4147889,pytest
2024-12-28,2877735,pytest
2024-12-29,2974547,pytest
2024-12-30,4541134,pytest
2024-12-31,4111493,pytest
2025-01-01,3290956,pytest
2025-01-02,5301915,pytest
2025-01-03,5132158,pytest
2025-01-04,3118603,pytest
2025-01-05,3077871,pytest
2025-01-06,5950969,pytest
2025-01-07,6540166,pytest
2025-01-08,6701243,pytest
2025-01-09,6498047,pytest
2025-01-10,6373884,pytest
2025-01-11,3181804,pytest
2025-01-12,3092468,pytest
2025-01-13,6521733,pytest
2025-01-14,6794402,pytest
2025-01-15,6798195,pytest
2025-01-16,6798710,pytest
2025-01-17,6751277,pytest
2025-01-18,3206373,pytest
2025-01-19,2965861,pytest
2025-01-20,5551670,pytest
2025-01-21,6747778,pytest
2025-01-22,6692730,pytest
2025-01-23,6195970,pytest
2025-01-24,5731333,pytest
2025-01-25,2580731,pytest
2025-01-26,2529517,pytest
2025-01-27,5995214,pytest
2025-01-28,6558403,pytest
2025-01-29,6656128,pytest
2025-01-30,7019761,pytest
2025-01-31,5633488,pytest
2025-02-01,2721063,pytest
2025-02-02,2691494,pytest
2025-02-03,6909740,pytest
2025-02-04,6779040,pytest
2025-02-05,6649026,pytest
2025-02-06,6881256,pytest
2025-02-07,6672470,pytest
2025-02-08,2790256,pytest
2025-02-09,2546804,pytest
2025-02-10,6278563,pytest
2025-02-11,6778755,pytest
2025-02-12,6752571,pytest
2025-02-13,6592242,pytest
2025-02-14,6024108,pytest
2025-02-15,2878512,pytest
2025-02-16,2565977,pytest
2025-02-17,5714944,pytest
2025-02-18,6630161,pytest
2025-02-19,7081459,pytest
2025-02-20,7229487,pytest
2025-02-21,7151178,pytest
2025-02-22,5018911,pytest
2025-02-23,3650056,pytest
2025-02-24,8167872,pytest
2025-02-25,8696858,pytest
2025-02-26,9180712,pytest
2025-02-27,10319205,pytest
2025-02-28,6443604,pytest
2025-03-01,8280723,pytest
2025-03-02,4026299,pytest
2025-03-03,7107295,pytest
2025-03-04,9732958,pytest
2025-03-05,8807833,pytest
2025-03-06,7577065,pytest
2025-03-07,8878765,pytest
2025-03-08,3315011,pytest
2025-03-09,2771635,pytest
2025-03-10,6888566,pytest
2025-03-11,7156505,pytest
